        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.293535,   0.002169,   3.442878
   2.293223,   0.002172,   3.447565
   2.292757,   0.002175,   3.452252
   2.292445,   0.002178,    3.45694
   2.292135,   0.002181,   3.461627
   2.291823,   0.002184,   3.466315
   2.291512,   0.002187,   3.471003
   2.291201,    0.00219,    3.47569
    2.29089,   0.002193,   3.480377
   2.290423,   0.002196,   3.485064
   2.290268,   0.002199,   3.489752
   2.289801,   0.002201,    3.49444
   2.289335,   0.002204,   3.499127
   2.289179,   0.002207,   3.503814
   2.288712,    0.00221,   3.508501
   2.288401,   0.002213,   3.513189
    2.28809,   0.002216,   3.517876
   2.287779,   0.002219,   3.522564
   2.287468,   0.002222,   3.527252
   2.287157,   0.002225,   3.531939
   2.286845,   0.002228,   3.536627
   2.286379,   0.002231,   3.541315
   2.286068,   0.002234,   3.546002
